product_id,product_name,category,brand,supplier_id,cost_price,selling_price,product_status
PROD00023,Placeat Groceries,Groceries,Adidas,SUP035,2545.66,2956.41,Active
PROD00024,Iste Home & Kitchen,Home & Kitchen,Adidas,SUP028,4170.11,4797.81,Active
PROD00025,Voluptas Sports,Sports,Nike,SUP107,2162.06,2935.14,Active
PROD00026,Nostrum Beauty,Beauty,Philips,SUP005,1777.69,2471.99,Active
PROD00027,Quis Beauty,Beauty,Puma,SUP056,1452.17,2254.26,Active
PROD00028,Inventore Groceries,Groceries,Nestle,SUP047,2498.41,3489.61,Active
PROD00029,Ullam Sports,Sports,Puma,SUP125,3126.36,3876.9,Active
PROD00030,Ad Sports,Sports,Adidas,SUP044,2029.1,2832.06,Active
PROD00031,Ex Beauty,Beauty,Dove,SUP140,1731.63,2309.64,Active
PROD00032,Delectus Electronics,Electronics,Sony,SUP158,545.31,865.57,Active
PROD00033,Placeat Sports,Sports,Samsung,SUP112,2799.55,3304.67,Active
PROD00034,Nemo Beauty,Beauty,Dove,SUP012,4260.49,5159.73,Active
PROD00035,Nobis Home & Kitchen,Home & Kitchen,Amul,SUP183,3333.83,5015.43,Active
PROD00036,Pariatur Beauty,Beauty,Samsung,SUP134,3214.0,5117.83,Active
PROD00037,Modi Electronics,Electronics,Nike,SUP186,1172.31,1647.6,Active
PROD00038,Ipsum Clothing,Clothing,Samsung,SUP118,1715.69,2123.35,Active
PROD00039,Architecto Beauty,Beauty,Samsung,SUP062,559.43,754.06,Active
PROD00040,Exercitationem Sports,Sports,Puma,SUP084,532.22,596.21,Active
PROD00041,Laudantium Groceries,Groceries,Sony,SUP083,2813.3,4413.3,Active
PROD00042,Odio Clothing,Clothing,Amul,SUP095,2241.66,3361.7,Active
PROD00043,Doloremque Groceries,Groceries,Adidas,SUP119,4676.67,6596.36,Active
PROD00044,Quaerat Groceries,Groceries,Puma,SUP078,3873.83,6073.35,Active
PROD00045,Rem Home & Kitchen,Home & Kitchen,LG,SUP082,1652.44,1888.97,Active
PROD00046,Quisquam Home & Kitchen,Home & Kitchen,Dove,SUP151,774.78,935.7,Active
PROD00047,Libero Clothing,Clothing,Adidas,SUP017,1648.88,2305.55,Active
PROD00048,Sequi Clothing,Clothing,Samsung,SUP008,4444.98,6633.05,Active
PROD00049,Velit Sports,Sports,LG,SUP170,1303.72,1470.93,Active
PROD00050,Repellendus Clothing,Clothing,Nestle,SUP089,2436.83,2881.16,Active
PROD00051,Explicabo Sports,Sports,Philips,SUP187,1891.83,2364.43,Active
PROD00052,Quo Clothing,Clothing,Nike,SUP142,3512.79,5190.18,Active
PROD00053,Suscipit Groceries,Groceries,Philips,SUP064,4034.3,4873.53,Discontinued
PROD00054,Adipisci Beauty,Beauty,Nestle,SUP070,2153.31,2614.15,Active
PROD00055,Culpa Beauty,Beauty,Nike,SUP001,112.49,152.98,Active
PROD00056,Iste Electronics,Electronics,LG,SUP074,3126.07,4945.21,Active
PROD00057,Labore Sports,Sports,Amul,SUP150,4491.03,6786.6,Active
PROD00058,Laborum Sports,Sports,Amul,SUP185,3974.48,4865.93,Active
PROD00059,Nostrum Groceries,Groceries,Philips,SUP032,2870.58,4029.45,Active
PROD00060,Magnam Sports,Sports,Philips,SUP031,4622.96,6355.14,Active
PROD00061,Quo Groceries,Groceries,Nestle,SUP126,3505.14,5101.71,Active
PROD00062,Temporibus Home & Kitchen,Home & Kitchen,Nike,SUP145,4339.33,5179.82,Active
PROD00063,Nihil Clothing,Clothing,Nike,SUP068,1637.14,2042.62,Active
PROD00064,Repellat Home & Kitchen,Home & Kitchen,Sony,SUP193,4832.51,7308.81,Active
PROD00065,Labore Beauty,Beauty,LG,SUP087,1963.14,3119.16,Active
PROD00066,Eligendi Clothing,Clothing,Puma,SUP096,4257.32,4890.12,Active
PROD00067,Dignissimos Sports,Sports,Nestle,SUP084,516.12,696.36,Active
PROD00068,Officiis Electronics,Electronics,Nestle,SUP030,2099.5,3059.18,Active
PROD00069,Cumque Electronics,Electronics,Samsung,SUP113,648.22,759.94,Active
PROD00070,Cumque Clothing,Clothing,Samsung,SUP022,3493.47,5070.34,Active
PROD00071,Cupiditate Electronics,Electronics,Puma,SUP184,720.67,951.05,Active
PROD00072,Recusandae Groceries,Groceries,Adidas,SUP078,2087.27,2913.17,Active
PROD00073,Vero Groceries,Groceries,Philips,SUP108,4306.59,6562.4,Active
PROD00074,Impedit Electronics,Electronics,Puma,SUP114,1794.65,2161.73,Active
PROD00075,Numquam Electronics,Electronics,Sony,SUP191,3637.48,5272.78,Active
PROD00076,Consectetur Electronics,Electronics,Dove,SUP042,384.08,527.8,Active
PROD00077,Modi Electronics,Electronics,LG,SUP001,3947.39,4681.2,Discontinued
PROD00078,Cumque Home & Kitchen,Home & Kitchen,Samsung,SUP008,3751.49,5103.75,Active
PROD00079,Repudiandae Clothing,Clothing,Puma,SUP105,3336.02,4275.04,Active
PROD00080,Vero Electronics,Electronics,Nestle,SUP090,3021.01,4161.53,Active
PROD00081,Soluta Beauty,Beauty,Puma,SUP165,4050.61,5066.8,Active
PROD00082,Autem Home & Kitchen,Home & Kitchen,Nestle,SUP139,722.3,871.24,Active
PROD00083,Facere Electronics,Electronics,LG,SUP076,1276.47,1510.63,Active
PROD00084,Consequuntur Groceries,Groceries,Adidas,SUP061,3665.12,5290.43,Active
PROD00085,Excepturi Electronics,Electronics,LG,SUP065,774.91,1039.1,Active
PROD00086,Voluptatibus Beauty,Beauty,Puma,SUP104,665.54,747.9,Active
PROD00087,Perferendis Home & Kitchen,Home & Kitchen,Amul,SUP004,220.23,326.39,Active
PROD00088,Incidunt Sports,Sports,Samsung,SUP149,664.45,806.54,Active
PROD00089,Deserunt Electronics,Electronics,Samsung,SUP115,3590.74,4739.42,Active
PROD00090,Esse Groceries,Groceries,Sony,SUP045,3598.15,5225.67,Active
PROD00091,Dolorum Clothing,Clothing,Puma,SUP081,2904.02,4261.87,Active
PROD00092,Facilis Clothing,Clothing,Sony,SUP165,4250.72,6190.67,Active
PROD00093,Veniam Home & Kitchen,Home & Kitchen,Puma,SUP151,4146.43,5821.95,Active
PROD00094,Adipisci Groceries,Groceries,Puma,SUP082,4170.32,6345.19,Active
PROD00095,Voluptatibus Electronics,Electronics,Philips,SUP189,3924.28,5108.11,Active
PROD00096,Vel Electronics,Electronics,Puma,SUP102,3559.85,4461.95,Active
PROD00097,Adipisci Groceries,Groceries,Puma,SUP127,4043.88,4684.82,Active
PROD00098,Asperiores Groceries,Groceries,Nike,SUP136,406.08,529.44,Active
PROD00099,Voluptatum Clothing,Clothing,Nestle,SUP173,278.41,362.22,Active
PROD00100,Officia Clothing,Clothing,Adidas,SUP066,774.19,982.38,Active
PROD00101,Nihil Groceries,Groceries,LG,SUP149,231.67,367.96,Active
PROD00102,Hic Electronics,Electronics,Amul,SUP044,2679.43,3743.53,Active
PROD00103,Aliquam Home & Kitchen,Home & Kitchen,Nestle,SUP153,2412.24,3356.12,Discontinued
PROD00104,Sequi Sports,Sports,Nestle,SUP011,2220.51,2851.71,Active
PROD00105,Perferendis Sports,Sports,Philips,SUP155,2871.91,3907.62,Active
PROD00106,Totam Groceries,Groceries,Nike,SUP072,4967.02,6335.42,Active
PROD00107,Maiores Sports,Sports,Philips,SUP029,3909.66,5400.55,Active
PROD00108,Amet Groceries,Groceries,Sony,SUP167,568.84,769.73,Active
PROD00109,Mollitia Groceries,Groceries,Dove,SUP095,4009.61,6086.81,Active
PROD00110,Vero Electronics,Electronics,Philips,SUP046,2179.18,2461.77,Active
PROD00111,Cum Home & Kitchen,Home & Kitchen,Nestle,SUP068,4835.87,7296.1,Active
PROD00112,Natus Sports,Sports,Nestle,SUP156,1295.69,1450.87,Active
PROD00113,Rem Electronics,Electronics,LG,SUP199,3299.0,5252.56,Active
PROD00114,Nulla Electronics,Electronics,Adidas,SUP073,2644.87,3981.77,Active
PROD00115,Adipisci Sports,Sports,Samsung,SUP057,1447.11,2048.71,Active
PROD00116,Dicta Beauty,Beauty,Philips,SUP062,2080.52,2528.89,Active
PROD00117,Enim Electronics,Electronics,Amul,SUP042,3724.46,4906.0,Active
PROD00118,Rem Home & Kitchen,Home & Kitchen,Philips,SUP084,3988.45,5293.44,Discontinued
PROD00119,Occaecati Electronics,Electronics,Nike,SUP056,347.89,544.02,Active
PROD00120,Occaecati Electronics,Electronics,Philips,SUP150,4783.46,7076.97,Active
PROD00121,Fuga Clothing,Clothing,Adidas,SUP101,58.4,73.2,Active
PROD00122,Labore Home & Kitchen,Home & Kitchen,Sony,SUP141,3473.75,4483.4,Active
PROD00123,Est Clothing,Clothing,Adidas,SUP042,3246.23,4245.34,Active
PROD00124,Delectus Beauty,Beauty,Amul,SUP159,2964.31,4576.88,Active
PROD00125,Molestias Home & Kitchen,Home & Kitchen,Adidas,SUP183,179.03,228.57,Active
PROD00126,Earum Clothing,Clothing,Nestle,SUP045,698.66,933.63,Active
PROD00127,Esse Beauty,Beauty,Nike,SUP026,1785.02,2163.05,Discontinued
PROD00128,Ipsam Home & Kitchen,Home & Kitchen,Dove,SUP164,2480.71,2991.43,Active
PROD00129,Quibusdam Electronics,Electronics,Nestle,SUP164,2141.34,2726.16,Active
PROD00130,Facere Home & Kitchen,Home & Kitchen,Nike,SUP012,4426.75,6517.85,Active
PROD00131,Rerum Clothing,Clothing,Samsung,SUP114,4258.92,6575.19,Active
PROD00132,Porro Home & Kitchen,Home & Kitchen,LG,SUP021,4516.21,5215.01,Active
PROD00133,Voluptatibus Electronics,Electronics,Puma,SUP109,3549.97,4548.0,Discontinued
PROD00134,Odit Home & Kitchen,Home & Kitchen,Philips,SUP181,3497.63,4318.64,Active
PROD00135,Occaecati Groceries,Groceries,Samsung,SUP084,4159.13,5325.07,Active
PROD00136,A Beauty,Beauty,Nike,SUP168,2325.0,3098.46,Discontinued
PROD00137,Exercitationem Groceries,Groceries,Adidas,SUP159,3307.82,5040.87,Active
PROD00138,Maiores Electronics,Electronics,Amul,SUP166,1278.5,1586.58,Active
PROD00139,Accusamus Beauty,Beauty,Nike,SUP055,4265.95,6211.39,Active
PROD00140,Odit Sports,Sports,Adidas,SUP071,2980.33,4121.7,Active
PROD00141,Doloremque Sports,Sports,Nestle,SUP148,3550.39,4834.36,Active
PROD00142,Quos Beauty,Beauty,Philips,SUP174,4590.27,5477.55,Active
PROD00143,Mollitia Home & Kitchen,Home & Kitchen,Amul,SUP088,2368.71,2784.45,Active
PROD00144,Earum Electronics,Electronics,Nike,SUP129,4026.23,5344.64,Active
PROD00145,Ullam Home & Kitchen,Home & Kitchen,Sony,SUP048,3163.96,4736.35,Active
PROD00146,Debitis Electronics,Electronics,Dove,SUP024,1730.04,2418.71,Active
PROD00147,Odio Groceries,Groceries,Nestle,SUP193,3934.05,5892.31,Active
PROD00148,Quaerat Beauty,Beauty,Nike,SUP145,1395.51,1560.36,Active
PROD00149,Sapiente Beauty,Beauty,Puma,SUP041,1588.81,2405.37,Active
PROD00150,Cupiditate Sports,Sports,Nestle,SUP088,2303.51,3563.54,Active
PROD00151,Neque Sports,Sports,LG,SUP185,143.23,217.66,Active
PROD00152,Quasi Clothing,Clothing,Amul,SUP169,1769.15,2454.84,Active
PROD00153,Quasi Sports,Sports,Philips,SUP016,911.03,1404.05,Active
PROD00154,Voluptatem Clothing,Clothing,Dove,SUP190,3621.98,4806.7,Active
PROD00155,Voluptatibus Home & Kitchen,Home & Kitchen,Amul,SUP157,2433.81,3100.5,Active
PROD00156,Eum Beauty,Beauty,Sony,SUP064,4382.77,6996.35,Active
PROD00157,Pariatur Home & Kitchen,Home & Kitchen,Adidas,SUP023,3029.08,3482.44,Discontinued
PROD00158,Aut Electronics,Electronics,Dove,SUP014,3446.6,4271.55,Active
PROD00159,Quos Groceries,Groceries,LG,SUP164,343.02,380.79,Active
PROD00160,Laboriosam Sports,Sports,Puma,SUP025,2570.15,3178.89,Active
PROD00161,Aut Groceries,Groceries,Nike,SUP146,2760.44,4265.65,Discontinued
PROD00162,Deleniti Electronics,Electronics,Sony,SUP126,1665.99,2331.35,Active
PROD00163,Aperiam Sports,Sports,Dove,SUP044,1299.35,1430.75,Active
PROD00164,Occaecati Sports,Sports,LG,SUP069,474.25,636.09,Active
PROD00165,Possimus Groceries,Groceries,Sony,SUP165,1159.86,1603.03,Active
PROD00166,Modi Sports,Sports,Nestle,SUP108,466.46,686.16,Active
PROD00167,Dolorem Electronics,Electronics,Samsung,SUP168,3924.48,4682.75,Active
PROD00168,Velit Home & Kitchen,Home & Kitchen,Puma,SUP028,1230.48,1508.09,Active
PROD00169,Neque Electronics,Electronics,Adidas,SUP096,4603.55,5124.61,Active
PROD00170,Veniam Electronics,Electronics,Samsung,SUP014,3782.53,5246.19,Active
PROD00171,Quaerat Home & Kitchen,Home & Kitchen,Nestle,SUP136,2040.88,2461.51,Active
PROD00172,Quo Groceries,Groceries,Amul,SUP069,4660.9,6298.8,Active
PROD00173,Quia Home & Kitchen,Home & Kitchen,Dove,SUP024,1185.44,1693.31,Active
PROD00174,Deleniti Groceries,Groceries,Philips,SUP009,1070.68,1344.38,Active
PROD00175,Nulla Beauty,Beauty,Puma,SUP176,766.2,967.2,Active
PROD00176,Doloribus Clothing,Clothing,Dove,SUP089,1221.55,1531.61,Active
PROD00177,Nihil Groceries,Groceries,Samsung,SUP107,3581.04,5133.75,Active
PROD00178,Dignissimos Home & Kitchen,Home & Kitchen,Adidas,SUP061,4193.06,4796.58,Active
PROD00179,Provident Sports,Sports,LG,SUP136,1642.53,2554.95,Active
PROD00180,Minus Beauty,Beauty,Samsung,SUP128,703.64,876.98,Active
PROD00181,Eaque Sports,Sports,Samsung,SUP154,1583.16,2358.99,Active
PROD00182,Corporis Groceries,Groceries,Samsung,SUP144,2857.14,4187.75,Active
PROD00183,Accusantium Home & Kitchen,Home & Kitchen,Sony,SUP027,1761.46,2436.55,Active
PROD00184,Ut Home & Kitchen,Home & Kitchen,Sony,SUP200,1418.85,2056.1,Active
PROD00185,Non Beauty,Beauty,Philips,SUP038,1496.13,1739.28,Active
PROD00186,Voluptates Electronics,Electronics,Nike,SUP082,4279.59,6199.59,Active
PROD00187,Repellendus Sports,Sports,Philips,SUP062,4508.87,6166.25,Active
PROD00188,Alias Sports,Sports,Sony,SUP082,2702.13,4134.08,Active
PROD00189,Laborum Home & Kitchen,Home & Kitchen,Dove,SUP018,878.97,991.62,Active
PROD00190,Facere Home & Kitchen,Home & Kitchen,Nike,SUP044,2808.63,4194.03,Active
PROD00191,Quae Beauty,Beauty,Nestle,SUP197,4508.59,6621.64,Active
PROD00192,Nobis Beauty,Beauty,LG,SUP154,3525.62,5522.62,Active
PROD00193,Quasi Groceries,Groceries,Samsung,SUP087,4854.67,7522.09,Active
PROD00194,Unde Home & Kitchen,Home & Kitchen,LG,SUP165,4810.14,6378.35,Active
PROD00195,Vero Home & Kitchen,Home & Kitchen,Samsung,SUP116,666.22,797.31,Active
PROD00196,Sapiente Home & Kitchen,Home & Kitchen,Philips,SUP090,119.7,170.29,Active
PROD00197,Saepe Electronics,Electronics,Dove,SUP115,4513.86,5471.79,Active
PROD00198,Accusantium Sports,Sports,Dove,SUP013,4900.43,7254.48,Active
PROD00199,Quo Sports,Sports,Amul,SUP068,4374.25,5493.99,Active
PROD00200,Sequi Sports,Sports,Adidas,SUP198,1176.06,1678.5,Active
PROD00201,Ratione Sports,Sports,Nestle,SUP173,1493.51,2053.47,Discontinued
PROD00202,Iste Home & Kitchen,Home & Kitchen,Nestle,SUP037,316.11,430.99,Active
PROD00203,Labore Beauty,Beauty,Samsung,SUP128,4591.08,6783.09,Active
PROD00204,Praesentium Electronics,Electronics,Nestle,SUP040,2745.13,4200.26,Active
PROD00205,Debitis Electronics,Electronics,LG,SUP044,943.97,1086.38,Active
PROD00206,Esse Beauty,Beauty,Dove,SUP094,1524.86,1911.51,Active
PROD00207,Autem Groceries,Groceries,Samsung,SUP053,1692.33,2564.1,Active
PROD00208,Corporis Clothing,Clothing,Sony,SUP182,376.31,484.97,Discontinued
PROD00209,Incidunt Sports,Sports,Amul,SUP039,3965.71,6142.54,Active
PROD00210,Repudiandae Groceries,Groceries,Sony,SUP091,810.03,1163.75,Active
PROD00211,A Clothing,Clothing,Puma,SUP019,1461.05,1998.88,Active
PROD00212,Reprehenderit Sports,Sports,Sony,SUP138,3757.83,5689.02,Active
PROD00213,Consequuntur Electronics,Electronics,Dove,SUP038,3295.55,4516.18,Active
PROD00214,Dolores Beauty,Beauty,Nestle,SUP089,4991.77,6601.27,Active
PROD00215,Unde Home & Kitchen,Home & Kitchen,Amul,SUP114,3804.98,5146.86,Active
PROD00216,Aliquid Sports,Sports,Nestle,SUP119,4014.66,5821.58,Active
PROD00217,Et Beauty,Beauty,Dove,SUP163,2240.19,3578.22,Active
PROD00218,Voluptas Sports,Sports,Samsung,SUP086,161.09,219.68,Active
PROD00219,Aliquid Groceries,Groceries,LG,SUP054,3947.48,5264.11,Active
PROD00220,Fugit Sports,Sports,Sony,SUP116,3032.49,4442.16,Active
PROD00221,Blanditiis Home & Kitchen,Home & Kitchen,Nestle,SUP129,4238.13,5988.03,Active
PROD00222,Dolore Groceries,Groceries,Samsung,SUP151,4770.11,5676.31,Active
PROD00223,Totam Groceries,Groceries,Adidas,SUP067,894.46,1093.37,Active
PROD00224,Qui Home & Kitchen,Home & Kitchen,LG,SUP002,146.48,194.52,Active
PROD00225,Dolorem Groceries,Groceries,LG,SUP193,2199.81,2988.37,Active
PROD00226,Eum Beauty,Beauty,LG,SUP108,3164.01,4270.27,Active
PROD00227,Nisi Clothing,Clothing,Adidas,SUP142,976.28,1089.21,Active
PROD00228,Sapiente Clothing,Clothing,Nestle,SUP155,2569.53,3948.81,Active
PROD00229,Cum Home & Kitchen,Home & Kitchen,Puma,SUP120,94.41,118.17,Discontinued
PROD00230,Praesentium Clothing,Clothing,Puma,SUP103,230.31,264.03,Active
PROD00231,Sed Sports,Sports,Samsung,SUP027,2362.7,3234.33,Active
PROD00232,Libero Groceries,Groceries,Dove,SUP159,1611.21,1962.63,Active
PROD00233,Error Beauty,Beauty,LG,SUP168,2963.98,3444.36,Active
PROD00234,Expedita Electronics,Electronics,Sony,SUP129,2486.66,2908.88,Active
PROD00235,Alias Electronics,Electronics,Dove,SUP103,718.25,790.4,Active
PROD00236,Error Home & Kitchen,Home & Kitchen,Sony,SUP117,1162.04,1287.5,Active
PROD00237,Totam Groceries,Groceries,Nike,SUP131,118.27,179.18,Active
PROD00238,Labore Home & Kitchen,Home & Kitchen,Samsung,SUP193,4995.06,6357.96,Active
PROD00239,Quam Electronics,Electronics,Samsung,SUP042,1085.54,1411.44,Active
PROD00240,Sunt Groceries,Groceries,Nestle,SUP142,2264.35,2745.1,Active
PROD00241,Repellat Home & Kitchen,Home & Kitchen,Puma,SUP140,499.61,775.92,Active
PROD00242,Distinctio Electronics,Electronics,Philips,SUP180,3953.44,4877.54,Active
PROD00243,Consequatur Clothing,Clothing,Philips,SUP036,641.77,887.62,Active
PROD00244,Tempora Groceries,Groceries,Samsung,SUP103,1854.94,2914.89,Active
PROD00245,Iusto Sports,Sports,Sony,SUP188,1064.96,1279.51,Active
PROD00246,Dolore Beauty,Beauty,Adidas,SUP110,3955.83,4748.77,Active
PROD00247,In Clothing,Clothing,Nestle,SUP074,3377.9,4697.04,Active
PROD00248,Vel Home & Kitchen,Home & Kitchen,Philips,SUP076,2069.15,3282.75,Active
PROD00249,Doloribus Clothing,Clothing,Puma,SUP031,4850.17,6494.64,Active
PROD00250,Expedita Clothing,Clothing,Philips,SUP122,4993.83,7388.35,Active
PROD00251,Culpa Clothing,Clothing,Dove,SUP071,4595.32,7002.0,Active
PROD00252,Aliquam Beauty,Beauty,Amul,SUP087,2604.31,3213.38,Active
PROD00253,Itaque Home & Kitchen,Home & Kitchen,Sony,SUP053,344.42,523.69,Active
PROD00254,Dolorem Groceries,Groceries,Adidas,SUP026,3435.24,4220.73,Active
PROD00255,Eligendi Electronics,Electronics,Dove,SUP171,1145.33,1806.16,Active
PROD00256,Minus Clothing,Clothing,Philips,SUP079,4809.4,5551.03,Active
PROD00257,Totam Electronics,Electronics,Nestle,SUP027,880.49,1365.02,Active
PROD00258,Nisi Beauty,Beauty,Philips,SUP014,811.13,1296.88,Active
PROD00259,Soluta Beauty,Beauty,Adidas,SUP147,4099.28,6545.72,Active
PROD00260,Ipsum Home & Kitchen,Home & Kitchen,Nike,SUP168,69.98,92.68,Active
PROD00261,Laboriosam Electronics,Electronics,LG,SUP138,519.8,613.29,Active
PROD00262,Hic Home & Kitchen,Home & Kitchen,Amul,SUP002,3341.74,4075.67,Active
PROD00263,Non Clothing,Clothing,Nestle,SUP042,2083.28,3331.96,Active
PROD00264,Exercitationem Electronics,Electronics,Philips,SUP180,3818.15,4267.41,Active
PROD00265,Velit Clothing,Clothing,Philips,SUP092,1237.28,1941.73,Active
PROD00266,Aspernatur Groceries,Groceries,Sony,SUP016,3006.16,4445.71,Active
PROD00267,Expedita Electronics,Electronics,Philips,SUP114,4954.02,6518.16,Active
PROD00268,Ut Beauty,Beauty,Dove,SUP040,263.57,381.8,Active
PROD00269,Temporibus Clothing,Clothing,Puma,SUP172,4795.28,6770.82,Active
PROD00270,Totam Electronics,Electronics,Samsung,SUP186,1336.67,1509.37,Active
PROD00271,Facere Clothing,Clothing,Philips,SUP053,1898.42,2788.43,Active
PROD00272,Iure Beauty,Beauty,LG,SUP101,3493.87,4910.31,Active
PROD00273,Vel Home & Kitchen,Home & Kitchen,Sony,SUP171,3377.4,5204.02,Active
PROD00274,Aliquid Electronics,Electronics,Amul,SUP143,838.27,1144.46,Active
PROD00275,Provident Clothing,Clothing,Puma,SUP119,1250.51,1807.54,Active
PROD00276,Vel Clothing,Clothing,Puma,SUP144,2123.92,3388.03,Active
PROD00277,Odit Groceries,Groceries,Philips,SUP096,1229.1,1757.51,Active
PROD00278,Iste Clothing,Clothing,Dove,SUP153,399.61,499.86,Active
PROD00279,Asperiores Clothing,Clothing,Sony,SUP081,193.89,299.27,Discontinued
PROD00280,Sed Beauty,Beauty,Dove,SUP115,2392.88,2702.81,Active
PROD00281,Explicabo Beauty,Beauty,Dove,SUP036,1904.58,2533.83,Discontinued
PROD00282,Quos Groceries,Groceries,Adidas,SUP129,2270.13,2788.01,Active
PROD00283,Sapiente Beauty,Beauty,Samsung,SUP161,2960.71,3276.14,Active
PROD00284,Aperiam Home & Kitchen,Home & Kitchen,Nestle,SUP171,3218.12,4635.26,Active
PROD00285,Cumque Beauty,Beauty,Dove,SUP066,3244.96,4371.82,Active
PROD00286,Suscipit Beauty,Beauty,LG,SUP010,4887.25,6258.69,Active
PROD00287,Quisquam Clothing,Clothing,Nestle,SUP041,4233.74,5986.47,Active
PROD00288,Aperiam Groceries,Groceries,LG,SUP066,1340.38,1900.42,Active
PROD00289,Ut Groceries,Groceries,Samsung,SUP117,3452.67,5162.01,Active
PROD00290,Eius Home & Kitchen,Home & Kitchen,Dove,SUP161,1199.39,1784.14,Active
PROD00291,Recusandae Home & Kitchen,Home & Kitchen,Dove,SUP146,3156.24,4255.81,Discontinued
PROD00292,Nulla Sports,Sports,Amul,SUP041,4115.43,6066.67,Active
PROD00293,Aliquam Beauty,Beauty,Nike,SUP026,337.27,413.28,Active
PROD00294,Nostrum Electronics,Electronics,Amul,SUP154,1974.04,2639.1,Active
PROD00295,Consequatur Home & Kitchen,Home & Kitchen,Dove,SUP128,2237.84,2935.36,Active
PROD00296,Delectus Electronics,Electronics,Amul,SUP176,1776.97,2470.23,Active
PROD00297,Quos Clothing,Clothing,Sony,SUP044,2911.97,4430.32,Active
PROD00298,Incidunt Home & Kitchen,Home & Kitchen,Sony,SUP056,4149.29,5664.03,Active
PROD00299,Neque Clothing,Clothing,Philips,SUP070,568.54,885.04,Active
PROD00300,Sint Sports,Sports,Nestle,SUP117,1346.21,1580.65,Active
PROD00301,Quod Sports,Sports,Nestle,SUP089,2691.52,3845.29,Active
PROD00302,Id Beauty,Beauty,Samsung,SUP099,1444.81,1687.85,Active
PROD00303,Molestiae Electronics,Electronics,Adidas,SUP040,2050.52,2329.63,Active
PROD00304,Excepturi Electronics,Electronics,Dove,SUP027,4441.39,6462.67,Active
PROD00305,Eum Home & Kitchen,Home & Kitchen,Nestle,SUP122,2980.07,4346.63,Discontinued
PROD00306,Illum Beauty,Beauty,Dove,SUP170,4585.87,6904.26,Active
PROD00307,Similique Sports,Sports,LG,SUP115,1081.2,1435.22,Active
PROD00308,Perferendis Electronics,Electronics,Nike,SUP048,4466.54,5666.99,Active
PROD00309,Totam Electronics,Electronics,Sony,SUP049,1836.51,2769.75,Active
PROD00310,Illum Electronics,Electronics,Dove,SUP037,4255.93,6437.05,Active
PROD00311,Odit Clothing,Clothing,Adidas,SUP135,3541.74,4486.05,Active
PROD00312,Voluptas Groceries,Groceries,Philips,SUP014,3700.34,4926.23,Active
PROD00313,Expedita Beauty,Beauty,Dove,SUP141,4855.18,7618.39,Active
PROD00314,Quis Electronics,Electronics,Amul,SUP138,4063.43,5254.58,Active
PROD00315,Officia Groceries,Groceries,Sony,SUP072,2969.94,3878.29,Active
PROD00316,Aliquid Clothing,Clothing,Nestle,SUP176,3916.92,5347.16,Active
PROD00317,Eos Groceries,Groceries,Dove,SUP047,264.37,391.99,Active
PROD00318,Explicabo Home & Kitchen,Home & Kitchen,Nestle,SUP128,697.02,803.47,Active
PROD00319,Odio Groceries,Groceries,Nestle,SUP169,482.24,668.21,Active
PROD00320,Doloremque Sports,Sports,LG,SUP197,446.12,694.27,Active
PROD00321,Facere Clothing,Clothing,Nestle,SUP069,294.41,397.29,Active
PROD00322,Magnam Electronics,Electronics,Sony,SUP159,2677.82,3612.41,Active
